time,open,high,low,close,tick_volume
2021-03-30,1.17603,1.17716,1.17107,1.17113,42634
2021-03-31,1.17133,1.1758,1.1702,1.17249,51464
2021-04-01,1.17264,1.17781,1.17104,1.17716,48145
2021-04-02,1.17729,1.17851,1.17475,1.17532,19647
2021-04-05,1.17532,1.18191,1.17361,1.18114,27300
2021-04-06,1.18092,1.1879,1.17942,1.18744,49712
2021-04-07,1.18744,1.19181,1.18617,1.1865999999999999,52980
2021-04-08,1.1865999999999999,1.19285,1.18616,1.19108,46071
2021-04-09,1.19149,1.19214,1.18678,1.18991,47613
2021-04-12,1.18947,1.19202,1.1872,1.19082,42104
2021-04-13,1.1909399999999999,1.1957200000000001,1.18787,1.19475,56287
2021-04-14,1.19474,1.1989,1.19474,1.19776,49909
2021-04-15,1.19787,1.19952,1.19577,1.19652,48408
2021-04-16,1.19675,1.19961,1.19519,1.19818,44378
2021-04-19,1.19752,1.20498,1.19436,1.20352,52039
2021-04-20,1.20363,1.20815,1.20236,1.20333,57231
2021-04-21,1.20333,1.20448,1.19994,1.20327,43745
2021-04-22,1.20312,1.20708,1.19944,1.20126,55611
2021-04-23,1.2021,1.21015,1.20137,1.20934,45045
2021-04-26,1.20939,1.21187,1.2062,1.20827,42536
2021-04-27,1.20798,1.2094,1.20577,1.20877,41074
2021-04-28,1.209,1.2135799999999999,1.20572,1.21231,55102
2021-04-29,1.21234,1.21512,1.21033,1.21188,50281
2021-04-30,1.21172,1.21275,1.20128,1.20128,52173
2021-05-03,1.20247,1.20769,1.20115,1.20611,40020
2021-05-04,1.20624,1.20649,1.19984,1.20111,60388
2021-05-05,1.20116,1.2027,1.1985999999999999,1.19986,49059
2021-05-06,1.20034,1.20729,1.19933,1.20619,51358
2021-05-07,1.20598,1.21731,1.2054,1.21629,65715
2021-05-10,1.21624,1.21798,1.21285,1.21285,57302
2021-05-11,1.21284,1.2183,1.21245,1.21466,62726
2021-05-12,1.21466,1.2153,1.20638,1.20665,76298
2021-05-13,1.20682,1.21068,1.20518,1.2076,75775
2021-05-14,1.2076500000000001,1.21487,1.20716,1.21412,60388
2021-05-17,1.21422,1.21701,1.21271,1.2152,55000
2021-05-18,1.21518,1.22361,1.2151399999999999,1.2221899999999999,56427
2021-05-19,1.22222,1.22473,1.21606,1.21737,79504
2021-05-20,1.21737,1.22302,1.21696,1.22262,57871
2021-05-21,1.22256,1.2241,1.21614,1.21779,60232
2021-05-24,1.21784,1.22309,1.21718,1.22108,52237
2021-05-25,1.22108,1.22678,1.22108,1.22471,56970
2021-05-26,1.22482,1.22641,1.21822,1.21879,56565
2021-05-27,1.21878,1.22155,1.21749,1.2192,60462
2021-05-28,1.21926,1.22058,1.21318,1.21898,55547
2021-05-31,1.21995,1.22325,1.21842,1.22251,33606
