time,open,high,low,close,tick_volume
2024-12-03 08:00:00,1.04914,1.04946,1.04834,1.04882,2573
2024-12-03 09:00:00,1.0488,1.05116,1.04863,1.04977,5058
2024-12-03 10:00:00,1.04977,1.05279,1.04972,1.05252,7994
2024-12-03 11:00:00,1.05253,1.05307,1.05162,1.05204,5680
2024-12-03 12:00:00,1.05205,1.05297,1.05121,1.05146,3792
2024-12-03 13:00:00,1.05145,1.05274,1.05138,1.05225,4386
2024-12-03 14:00:00,1.05225,1.0524499999999999,1.0507,1.05076,4718
2024-12-03 15:00:00,1.05076,1.05269,1.05063,1.05242,5196
2024-12-03 16:00:00,1.05242,1.05291,1.05169,1.05192,7998
2024-12-03 17:00:00,1.05192,1.05195,1.0492,1.05168,9967
2024-12-03 18:00:00,1.05167,1.05194,1.05031,1.05176,6063
2024-12-03 19:00:00,1.05176,1.05303,1.05082,1.05283,4924
2024-12-03 20:00:00,1.05283,1.05351,1.05248,1.05277,4326
2024-12-03 21:00:00,1.05277,1.05289,1.05045,1.05045,3461
2024-12-03 22:00:00,1.05042,1.05126,1.05028,1.0509,3257
2024-12-03 23:00:00,1.05086,1.05117,1.05071,1.05095,1356
2024-12-04 00:00:00,1.05051,1.0507900000000001,1.05033,1.05076,494
2024-12-04 01:00:00,1.05076,1.05109,1.05053,1.051,729
2024-12-04 02:00:00,1.051,1.05121,1.04971,1.04991,2449
2024-12-04 03:00:00,1.04991,1.05126,1.04971,1.0506,3492
2024-12-04 04:00:00,1.0506,1.05084,1.04976,1.05002,3586
2024-12-04 05:00:00,1.05002,1.05005,1.04878,1.04937,2776
2024-12-04 06:00:00,1.04937,1.05135,1.04909,1.05107,2391
2024-12-04 07:00:00,1.05107,1.0520100000000001,1.05095,1.05152,2128
2024-12-04 08:00:00,1.05152,1.0529,1.05103,1.05226,2612
2024-12-04 09:00:00,1.05226,1.05266,1.05074,1.05088,4830
2024-12-04 10:00:00,1.05088,1.0515,1.04902,1.04911,6091
2024-12-04 11:00:00,1.04911,1.0506199999999999,1.04825,1.05029,6890
2024-12-04 12:00:00,1.0503,1.05094,1.0495700000000001,1.04992,4697
2024-12-04 13:00:00,1.04992,1.05124,1.04972,1.05048,4318
2024-12-04 14:00:00,1.05046,1.0505,1.04879,1.0491,4388
2024-12-04 15:00:00,1.04907,1.04973,1.04792,1.04834,8297
2024-12-04 16:00:00,1.04834,1.04986,1.04722,1.04975,7413
2024-12-04 17:00:00,1.05073,1.05441,1.05032,1.05295,14365
2024-12-04 18:00:00,1.05293,1.05367,1.05202,1.05268,7401
2024-12-04 19:00:00,1.05269,1.05426,1.05249,1.05373,4923
2024-12-04 20:00:00,1.05373,1.05389,1.05153,1.0516,3541
2024-12-04 21:00:00,1.0516,1.05293,1.05071,1.05137,7244
2024-12-04 22:00:00,1.05138,1.05174,1.05048,1.05129,3871
2024-12-04 23:00:00,1.0513,1.05158,1.05078,1.05094,1459
2024-12-05 00:00:00,1.05076,1.05122,1.05072,1.05109,359
2024-12-05 01:00:00,1.05109,1.0515,1.05071,1.05125,879
2024-12-05 02:00:00,1.05125,1.05158,1.05081,1.05141,2133
2024-12-05 03:00:00,1.05143,1.05159,1.05091,1.05121,2591
2024-12-05 04:00:00,1.05122,1.05227,1.05105,1.05199,2630
2024-12-05 05:00:00,1.05199,1.05232,1.05158,1.05229,1645
2024-12-05 06:00:00,1.05229,1.05258,1.05171,1.05183,1281
2024-12-05 07:00:00,1.05183,1.05288,1.05172,1.05264,2252
2024-12-05 08:00:00,1.05264,1.05296,1.05229,1.05254,1867
2024-12-05 09:00:00,1.05254,1.05386,1.05248,1.05353,3958
2024-12-05 10:00:00,1.05353,1.05463,1.05291,1.05302,5403
