time,open,high,low,close,tick_volume
2021-03-30,1.25907,1.26472,1.25805,1.2626,37264
2021-03-31,1.2624,1.26301,1.25389,1.2555100000000001,41068
2021-04-01,1.25576,1.26017,1.2542,1.2542,39771
2021-04-02,1.25406,1.25776,1.2527599999999999,1.25693,19333
2021-04-05,1.25677,1.2594400000000001,1.25016,1.2517,26666
2021-04-06,1.25211,1.2582900000000001,1.25164,1.25584,28020
2021-04-07,1.25597,1.26345,1.25597,1.26044,48086
2021-04-08,1.26001,1.26269,1.25552,1.25552,39818
2021-04-09,1.25576,1.26105,1.25227,1.25227,45718
2021-04-12,1.2537099999999999,1.25739,1.25251,1.2558,37749
2021-04-13,1.25506,1.26311,1.25265,1.25309,36711
2021-04-14,1.25288,1.25759,1.24994,1.25177,35233
2021-04-15,1.25115,1.25582,1.2476099999999999,1.25403,36057
2021-04-16,1.25408,1.25595,1.2494,1.2502,32446
2021-04-19,1.25033,1.25437,1.24708,1.25291,40083
2021-04-20,1.25226,1.26233,1.24782,1.26037,47497
2021-04-21,1.26019,1.26536,1.24593,1.24948,44437
2021-04-22,1.24898,1.25346,1.24725,1.2500200000000001,48323
2021-04-23,1.24993,1.25087,1.24604,1.2471700000000001,36548
2021-04-26,1.24729,1.249,1.23832,1.23923,40156
2021-04-27,1.23922,1.2417799999999999,1.23856,1.23898,32299
2021-04-28,1.23957,1.24175,1.23094,1.23109,42344
2021-04-29,1.23131,1.23211,1.22746,1.22778,42106
2021-04-30,1.22785,1.23216,1.22651,1.22824,49195
2021-05-03,1.22885,1.2318,1.22658,1.22728,37020
2021-05-04,1.22712,1.23512,1.22712,1.23031,46794
2021-05-05,1.23019,1.23101,1.2251400000000001,1.22645,34861
2021-05-06,1.22645,1.22878,1.21411,1.21416,43753
2021-05-07,1.21434,1.2193100000000001,1.2119900000000001,1.21246,47249
2021-05-10,1.21195,1.2133099999999999,1.20782,1.20978,44401
2021-05-11,1.20891,1.21252,1.20777,1.20985,54202
2021-05-12,1.2099199999999999,1.21373,1.20454,1.213,67216
2021-05-13,1.21218,1.22024,1.21034,1.21586,61992
2021-05-14,1.21588,1.2178499999999999,1.2079900000000001,1.2098200000000001,46863
2021-05-17,1.21074,1.21359,1.206,1.20605,45999
2021-05-18,1.20607,1.20808,1.20124,1.2059199999999999,44405
2021-05-19,1.20578,1.21426,1.20534,1.21257,81971
2021-05-20,1.21168,1.21439,1.20488,1.20535,53827
2021-05-21,1.20557,1.20942,1.20268,1.2058,55367
2021-05-24,1.20641,1.20848,1.20391,1.20391,45545
2021-05-25,1.20434,1.20778,1.20285,1.2061600000000001,52274
2021-05-26,1.20537,1.21273,1.20428,1.21139,50128
2021-05-27,1.21094,1.21416,1.20557,1.2058200000000001,45151
2021-05-28,1.20624,1.21195,1.20624,1.2068699999999999,47611
2021-05-31,1.20676,1.20914,1.20445,1.20554,31508
2021-06-01,1.20567,1.2077,1.20064,1.20645,37005
2021-06-02,1.20631,1.20913,1.20283,1.20309,36478
2021-06-03,1.20244,1.21197,1.20244,1.21006,41439
2021-06-04,1.21032,1.21326,1.20702,1.20731,42576
2021-06-07,1.20732,1.2106,1.20564,1.20742,39534
2021-06-08,1.20756,1.2117499999999999,1.20706,1.21049,37588
2021-06-09,1.21039,1.21168,1.20576,1.21031,33844
2021-06-10,1.21041,1.21253,1.20696,1.20908,50365
2021-06-11,1.20894,1.21771,1.20796,1.21566,33867
2021-06-14,1.21579,1.21712,1.21279,1.21368,31110
2021-06-15,1.21365,1.22038,1.21294,1.21853,39324
2021-06-16,1.21783,1.22835,1.21568,1.2273100000000001,51686
2021-06-17,1.2271,1.2378,1.22623,1.23516,62718
