time,open,high,low,close,tick_volume
2021-03-30,109.772,110.428,109.71,110.327,40618
2021-03-31,110.344,110.97,110.279,110.701,48802
2021-04-01,110.665,110.851,110.55,110.564,37387
2021-04-02,110.57,110.754,110.375,110.655,25574
2021-04-05,110.636,110.752,109.965,110.149,23751
2021-04-06,110.162,110.555,109.672,109.71,44225
2021-04-07,109.706,109.943,109.581,109.818,43809
2021-04-08,109.804,109.905,109.001,109.243,38899
2021-04-09,109.207,109.96,109.207,109.644,38510
2021-04-12,109.694,109.772,109.247,109.348,31798
2021-04-13,109.37,109.755,109.018,109.024,48266
2021-04-14,109.038,109.095,108.752,108.879,37426
2021-04-15,108.926,108.976,108.613,108.722,34676
2021-04-16,108.695,108.966,108.612,108.774,32699
2021-04-19,108.759,108.836,108.007,108.101,42625
2021-04-20,108.111,108.547,107.969,108.057,41440
2021-04-21,108.058,108.281,107.875,108.038,34802
2021-04-22,108.041,108.231,107.81,107.936,37565
2021-04-23,107.919,108.144,107.474,107.842,37672
2021-04-26,107.928,108.195,107.638,108.071,39997
2021-04-27,108.053,108.777,108.053,108.663,36546
2021-04-28,108.67,109.081,108.549,108.554,44672
2021-04-29,108.575,109.224,108.434,108.891,37031
2021-04-30,108.892,109.379,108.713,109.292,39766
2021-05-03,109.264,109.699,108.896,109.044,33614
2021-05-04,109.033,109.49,108.993,109.285,41735
2021-05-05,109.301,109.481,109.127,109.128,32641
2021-05-06,109.159,109.43,109.002,109.047,42774
2021-05-07,109.06,109.289,108.338,108.571,53690
2021-05-10,108.555,109.058,108.468,108.771,51604
2021-05-11,108.761,108.983,108.35,108.602,70106
2021-05-12,108.638,109.712,108.532,109.618,57438
2021-05-13,109.625,109.788,109.407,109.44,49860
2021-05-14,109.416,109.657,109.19,109.323,39146
2021-05-17,109.265,109.507,109.076,109.2,38080
2021-05-18,109.186,109.286,108.833,108.859,41306
2021-05-19,108.861,109.338,108.572,109.19,67121
2021-05-20,109.174,109.309,108.75,108.759,55587
2021-05-21,108.759,109.006,108.611,108.938,42872
2021-05-24,108.9,108.996,108.696,108.698,33316
2021-05-25,108.699,109.073,108.56,108.741,41934
2021-05-26,108.735,109.179,108.724,109.12,42078
2021-05-27,109.093,109.927,109.039,109.785,48690
2021-05-28,109.79,110.205,109.746,109.809,46556
2021-05-31,109.819,109.94,109.355,109.54,25922
2021-06-01,109.565,109.708,109.333,109.44,35202
2021-06-02,109.485,109.888,109.393,109.492,36469
2021-06-03,109.511,110.325,109.511,110.246,40237
2021-06-04,110.276,110.332,109.366,109.516,40606
2021-06-07,109.544,109.638,109.186,109.221,35171
2021-06-08,109.222,109.556,109.196,109.455,35170
2021-06-09,109.47,109.656,109.222,109.582,38634
2021-06-10,109.613,109.795,109.302,109.302,44612
2021-06-11,109.291,109.842,109.291,109.684,46359
2021-06-14,109.626,110.099,109.607,110.022,41884
2021-06-15,110.033,110.168,109.989,110.02,65034
2021-06-16,109.996,110.722,109.804,110.694,53759
2021-06-17,110.635,110.825,110.152,110.158,56192
2021-06-18,110.209,110.484,109.942,110.215,55597
2021-06-21,110.21,110.351,109.716,110.286,54480
2021-06-22,110.255,110.794,110.214,110.661,37675
2021-06-23,110.629,111.106,110.601,110.918,36742
2021-06-24,110.957,111.116,110.687,110.862,41534
2021-06-25,110.825,110.985,110.482,110.772,37882
2021-06-28,110.793,110.98,110.498,110.553,45858
2021-06-29,110.566,110.76,110.431,110.536,58595
2021-06-30,110.515,111.122,110.418,111.064,43513
2021-07-01,111.078,111.639,111.029,111.487,39603
2021-07-02,111.516,111.66,110.953,111.009,51803
2021-07-05,110.991,111.191,110.796,110.975,35318
2021-07-06,110.915,110.967,110.517,110.576,48589
2021-07-07,110.585,110.813,110.393,110.6,51750
2021-07-08,110.638,110.672,109.529,109.747,62416
2021-07-09,109.697,110.257,109.697,110.098,80974
2021-07-12,110.156,110.401,109.974,110.342,29236
2021-07-13,110.349,110.648,110.198,110.593,46402
2021-07-14,110.605,110.701,109.927,109.927,38618
2021-07-15,109.918,110.088,109.711,109.834,42354
2021-07-16,109.789,110.342,109.734,110.055,45139
2021-07-19,109.999,110.098,109.061,109.445,52686
2021-07-20,109.431,109.956,109.328,109.828,62617
2021-07-21,109.818,110.387,109.794,110.271,55667
2021-07-22,110.27,110.359,110.014,110.126,46144
2021-07-23,110.105,110.595,110.039,110.503,35362
2021-07-26,110.468,110.585,110.117,110.36,40868
2021-07-27,110.356,110.388,109.579,109.717,45749
2021-07-28,109.708,110.291,109.644,109.881,56229
2021-07-29,109.889,109.948,109.42,109.446,42655
2021-07-30,109.447,109.828,109.361,109.618,41364
2021-08-02,109.674,109.771,109.183,109.288,30662
2021-08-03,109.275,109.338,108.873,109.0,39482
2021-08-04,109.023,109.677,108.718,109.467,50863
2021-08-05,109.461,109.794,109.404,109.728,46400
2021-08-06,109.755,110.359,109.7,110.171,48832
2021-08-09,110.264,110.357,110.027,110.262,30058
2021-08-10,110.296,110.604,110.276,110.548,31818
2021-08-11,110.553,110.806,110.312,110.378,33857
2021-08-12,110.379,110.549,110.319,110.388,27952
2021-08-13,110.34,110.461,109.542,109.57,42091
2021-08-16,109.554,109.746,109.109,109.254,60940
2021-08-17,109.234,109.652,109.113,109.56,99479
2021-08-18,109.535,110.068,109.476,109.729,94176
2021-08-19,109.76,110.229,109.482,109.754,99870
2021-08-20,109.765,109.884,109.569,109.76,77378
2021-08-23,109.745,110.148,109.653,109.677,76073
2021-08-24,109.627,109.88,109.411,109.683,73847
2021-08-25,109.603,110.126,109.603,109.932,58964
2021-08-26,109.936,110.23,109.927,110.062,35448
2021-08-27,109.961,110.269,109.78,109.796,39097
2021-08-30,109.843,109.962,109.702,109.883,19862
2021-08-31,109.898,110.081,109.585,109.982,43630
2021-09-01,109.971,110.421,109.878,109.984,39482
2021-09-02,109.966,110.121,109.915,109.919,26721
2021-09-03,109.897,110.074,109.589,109.677,40214
2021-09-06,109.649,109.945,109.619,109.799,16858
2021-09-07,109.793,110.321,109.682,110.268,38118
2021-09-08,110.242,110.448,110.143,110.247,36044
2021-09-09,110.209,110.275,109.619,109.671,31198
2021-09-10,109.68,109.99,109.679,109.904,32579
2021-09-13,109.849,110.16,109.823,109.958,29685
2021-09-14,109.959,110.162,109.524,109.663,30811
2021-09-15,109.625,109.74,109.109,109.342,34250
2021-09-16,109.322,109.827,109.208,109.688,35472
2021-09-17,109.682,110.082,109.665,109.953,37646
2021-09-20,109.884,110.039,109.319,109.371,40126
2021-09-21,109.33,109.705,109.177,109.177,45086
2021-09-22,109.186,109.899,109.116,109.742,65743
2021-09-23,109.719,110.349,109.719,110.299,40844
2021-09-24,110.281,110.798,110.256,110.717,40675
2021-09-27,110.679,111.072,110.54,110.978,40368
2021-09-28,110.948,111.645,110.937,111.51,59070
2021-09-29,111.455,112.053,111.21,111.915,46639
2021-09-30,111.933,112.082,111.228,111.235,46758
2021-10-01,111.226,111.494,110.909,111.054,59457
2021-10-04,110.879,111.305,110.825,110.873,57645
2021-10-05,110.892,111.566,110.874,111.434,52282
2021-10-06,111.439,111.793,111.204,111.39,60161
2021-10-07,111.386,111.656,111.234,111.603,43863
2021-10-08,111.586,112.259,111.514,112.221,59544
2021-10-11,112.115,113.415,112.115,113.282,38670
2021-10-12,113.276,113.792,113.006,113.607,60819
2021-10-13,113.558,113.808,113.219,113.219,55781
2021-10-14,113.246,113.722,113.215,113.648,36633
2021-10-15,113.652,114.47,113.633,114.236,54184
2021-10-18,114.237,114.457,114.02,114.32,56906
2021-10-19,114.271,114.403,113.882,114.335,45546
2021-10-20,114.326,114.704,114.082,114.321,51028
2021-10-21,114.22,114.419,113.655,113.974,51611
2021-10-22,113.969,114.211,113.417,113.455,55911
2021-10-25,113.548,113.928,113.427,113.673,46396
2021-10-26,113.691,114.316,113.676,114.112,40004
2021-10-27,114.115,114.224,113.391,113.798,59787
2021-10-28,113.809,113.873,113.26,113.545,65895
2021-10-29,113.565,114.1,113.398,113.974,69871
2021-11-01,114.101,114.448,113.943,113.996,50336
2021-11-02,113.998,114.139,113.465,113.945,52991
2021-11-03,113.942,114.222,113.725,113.977,50284
2021-11-04,113.977,114.282,113.514,113.754,56551
2021-11-05,113.748,114.037,113.304,113.378,58768
2021-11-08,113.404,113.672,113.084,113.19,38780
2021-11-09,113.215,113.295,112.73,112.853,55486
2021-11-10,112.83,114.019,112.779,113.881,60154
2021-11-11,113.894,114.162,113.81,114.027,33321
2021-11-12,114.065,114.306,113.765,113.896,47930
2021-11-15,113.939,114.221,113.756,114.093,44074
2021-11-16,114.109,114.854,114.106,114.798,53339
2021-11-17,114.776,114.974,113.935,114.1,51724
2021-11-18,114.095,114.488,113.881,114.225,53478
2021-11-19,114.256,114.544,113.59,114.021,74505
2021-11-22,113.924,114.967,113.908,114.849,61058
2021-11-23,114.857,115.196,114.486,115.102,71662
2021-11-24,115.114,115.528,114.828,115.397,62947
2021-11-25,115.403,115.462,115.245,115.331,25840
2021-11-26,115.331,115.372,113.054,113.355,159667
2021-11-29,113.506,113.961,112.994,113.499,96605
2021-11-30,113.524,113.896,112.535,113.137,113061
2021-12-01,113.043,113.634,112.676,112.74,83619
2021-12-02,112.7,113.332,112.665,113.155,85782
2021-12-03,113.056,113.616,112.561,112.78,80759
2021-12-06,112.857,113.559,112.838,113.437,62623
2021-12-07,113.455,113.785,113.404,113.53,49131
2021-12-08,113.524,113.96,113.315,113.676,62975
2021-12-09,113.643,113.816,113.276,113.454,45700
2021-12-10,113.524,113.797,113.228,113.374,51841
2021-12-13,113.376,113.731,113.311,113.561,35513
2021-12-14,113.514,113.763,113.432,113.743,42110
2021-12-15,113.705,114.271,113.633,114.011,45703
2021-12-16,113.973,114.252,113.564,113.656,50578
2021-12-17,113.681,113.859,113.142,113.682,57160
2021-12-20,113.615,113.735,113.33,113.626,54862
2021-12-21,113.534,114.225,113.534,114.054,35264
2021-12-22,114.067,114.375,113.953,114.098,33154
2021-12-23,114.072,114.471,114.06,114.357,26737
2021-12-24,114.37,114.517,114.292,114.292,21533
2021-12-27,114.33,114.918,114.297,114.824,23588
2021-12-28,114.827,114.954,114.712,114.822,23637
2021-12-29,114.827,115.043,114.674,114.903,22911
2021-12-30,114.903,115.213,114.903,115.081,21590
2021-12-31,115.086,115.202,115.009,115.064,19587
2022-01-03,115.132,115.372,114.955,115.325,23876
2022-01-04,115.325,116.356,115.265,116.123,35502
2022-01-05,116.123,116.248,115.626,116.082,35211
2022-01-06,116.085,116.189,115.631,115.83,39308
2022-01-07,115.83,116.051,115.505,115.538,34085
2022-01-10,115.595,115.855,115.049,115.149,35461
2022-01-11,115.145,115.684,115.127,115.299,34520
2022-01-12,115.299,115.47,114.386,114.638,37666
2022-01-13,114.649,114.707,114.001,114.167,34178
2022-01-14,114.159,114.267,113.48,114.198,42361
2022-01-17,114.146,114.653,114.146,114.609,20442
2022-01-18,114.601,115.063,114.452,114.61,46535
2022-01-19,114.591,114.791,114.21,114.328,40857
2022-01-20,114.323,114.549,113.965,114.092,41569
2022-01-21,114.09,114.153,113.605,113.643,50373
2022-01-24,113.652,114.001,113.472,113.884,53817
2022-01-25,113.886,114.16,113.671,113.848,49934
2022-01-26,113.846,114.696,113.779,114.575,42840
2022-01-27,114.575,115.493,114.478,115.362,55161
2022-01-28,115.362,115.687,115.125,115.303,48210
2022-01-31,115.276,115.595,114.927,115.048,42914
2022-02-01,115.059,115.195,114.569,114.699,41265
2022-02-02,114.709,114.805,114.146,114.442,34185
2022-02-03,114.322,114.989,114.322,114.959,44042
2022-02-04,114.952,115.43,114.776,115.229,43130
2022-02-07,115.225,115.38,114.915,115.067,38599
2022-02-08,115.067,115.63,115.056,115.535,34196
2022-02-09,115.537,115.68,115.326,115.436,32523
2022-02-10,115.438,116.341,115.438,116.016,51704
2022-02-11,116.013,116.178,115.022,115.34,51015
2022-02-14,115.332,115.75,115.012,115.536,62044
2022-02-15,115.511,115.879,115.261,115.623,43840
2022-02-16,115.636,115.793,115.357,115.504,39976
2022-02-17,115.505,115.539,114.848,114.941,57421
2022-02-18,114.934,115.3,114.791,114.998,45800
2022-02-21,115.007,115.127,114.713,114.74,30425
2022-02-22,114.74,115.246,114.501,115.054,59009
2022-02-23,115.051,115.203,114.929,114.96,33259
2022-02-24,114.96,115.697,114.41,115.486,102120
2022-02-25,115.483,115.764,115.151,115.583,58043
2022-02-28,115.196,115.771,114.863,114.981,63797
2022-03-01,114.98,115.291,114.702,114.887,51809
2022-03-02,114.887,115.691,114.793,115.528,52801
2022-03-03,115.523,115.81,115.387,115.464,42241
2022-03-04,115.465,115.559,114.651,114.83,61132
2022-03-07,114.912,115.474,114.823,115.288,59753
2022-03-08,115.289,115.791,115.266,115.63,57443
2022-03-09,115.651,115.946,115.561,115.798,44149
2022-03-10,115.773,116.198,115.773,116.138,44055
2022-03-11,116.14,117.361,116.077,117.269,42506
2022-03-14,117.341,118.223,117.319,118.187,37221
2022-03-15,118.186,118.455,117.705,118.309,44241
2022-03-16,118.309,119.127,118.179,118.759,47136
2022-03-17,118.761,119.03,118.373,118.61,40553
2022-03-18,118.617,119.404,118.475,119.154,33855
2022-03-21,119.094,119.506,119.094,119.47,28717
2022-03-22,119.47,121.036,119.441,120.817,50248
2022-03-23,120.823,121.416,120.596,121.131,46280
2022-03-24,121.135,122.413,120.956,122.363,46291
2022-03-25,122.363,122.44,121.183,122.03,59030
2022-03-28,122.055,125.097,122.019,123.778,83118
2022-03-29,123.78,124.305,121.98,122.831,83266
2022-03-30,122.833,123.208,121.315,121.794,75960
2022-03-31,121.796,122.458,121.282,121.634,75615
2022-04-01,121.634,123.037,121.628,122.465,59463
2022-04-04,122.614,122.962,122.267,122.795,43552
2022-04-05,122.801,123.672,122.378,123.608,46771
2022-04-06,123.607,124.054,123.464,123.786,58057
2022-04-07,123.789,124.007,123.472,123.911,45684
2022-04-08,123.907,124.681,123.673,124.271,43186
2022-04-11,124.02,125.773,124.019,125.339,51525
2022-04-12,125.339,125.761,124.768,125.318,54786
2022-04-13,125.315,126.319,125.311,125.508,52571
2022-04-14,125.515,126.018,125.085,125.857,53220
2022-04-15,125.857,126.684,125.855,126.418,52643
2022-04-18,126.396,126.998,126.242,126.969,35135
2022-04-19,126.969,128.979,126.959,128.899,64170
2022-04-20,128.9,129.41,127.459,127.677,80171
2022-04-21,127.61,128.706,127.61,128.354,65011
2022-04-22,128.352,129.11,127.737,128.516,67601
2022-04-25,128.566,128.868,127.522,128.119,73552
2022-04-26,128.118,128.204,127.029,127.212,71747
2022-04-27,127.222,128.591,126.924,128.412,66539
2022-04-28,128.41,131.256,128.339,130.827,89617
2022-04-29,130.832,130.957,129.318,129.751,71945
2022-05-02,129.722,130.481,129.614,130.157,58222
2022-05-03,130.143,130.293,129.702,130.124,43180
2022-05-04,130.117,130.382,128.625,129.076,50228
2022-05-05,129.068,130.561,128.757,130.158,72781
2022-05-06,130.162,130.809,130.097,130.526,68921
2022-05-09,130.48,131.347,130.114,130.306,61206
2022-05-10,130.313,130.578,129.8,130.418,65571
2022-05-11,130.417,130.812,129.446,129.967,70540
2022-05-12,129.943,130.059,127.517,128.302,88202
2022-05-13,128.304,129.457,128.303,129.241,66368
2022-05-16,129.211,129.646,128.7,129.094,52546
2022-05-17,129.099,129.783,128.833,129.341,50710
2022-05-18,129.341,129.539,128.009,128.23,55008
2022-05-19,128.216,128.947,127.027,127.812,85110
2022-05-20,127.806,128.301,127.531,127.919,70550
2022-05-23,127.864,128.06,127.158,127.875,58050
2022-05-24,127.853,128.088,126.364,126.841,65829
2022-05-25,126.831,127.497,126.653,127.276,61669
2022-05-26,127.26,127.585,126.556,127.064,57828
2022-05-27,127.059,127.26,126.68,127.099,49927
2022-05-30,127.032,127.829,126.864,127.595,36545
2022-05-31,127.577,128.894,127.514,128.686,68367
2022-06-01,128.683,130.191,128.651,130.145,59847
2022-06-02,130.138,130.242,129.513,129.855,48278
2022-06-03,129.851,130.984,129.685,130.806,44141
2022-06-06,130.833,132.014,130.434,131.869,53454
2022-06-07,131.865,133.004,131.853,132.618,67195
2022-06-08,132.609,134.477,132.573,134.237,70010
2022-06-09,134.209,134.558,133.188,134.361,79128
2022-06-10,134.348,134.482,133.366,134.346,73705
2022-06-13,134.317,135.202,133.595,134.395,93612
2022-06-14,134.405,135.447,133.875,135.435,100737
2022-06-15,135.434,135.57,133.505,133.785,107289
2022-06-16,133.756,134.68,131.492,132.203,110118
2022-06-17,132.187,135.427,132.142,134.942,118901
2022-06-20,134.926,135.446,134.538,135.086,69957
2022-06-21,135.058,136.708,134.927,136.648,76410
2022-06-22,136.64,136.695,135.685,136.208,88311
2022-06-23,136.202,136.202,134.262,134.947,108596
2022-06-24,134.941,135.401,134.354,135.156,87874
2022-06-27,135.104,135.55,134.524,135.463,76282
2022-06-28,135.45,136.383,135.111,136.143,94618
2022-06-29,136.131,137.001,135.77,136.592,133880
2022-06-30,136.557,136.809,135.55,135.74,122499
2022-07-01,135.723,135.985,134.741,135.214,138697
2022-07-04,135.199,135.774,134.783,135.679,76600
2022-07-05,135.645,136.362,135.398,135.856,133398
2022-07-06,135.846,136.006,134.945,135.893,171486
2022-07-07,135.895,136.22,135.549,135.975,111930
2022-07-08,135.979,136.566,135.327,136.06,146451
2022-07-11,136.027,137.753,135.898,137.402,116472
2022-07-12,137.407,137.535,136.47,136.856,116565
2022-07-13,136.839,137.865,136.69,137.414,133382
2022-07-14,137.392,139.391,137.307,138.906,147344
2022-07-15,138.906,139.125,138.386,138.5,106671
2022-07-18,138.479,138.551,137.886,138.114,74035
2022-07-19,138.109,138.392,137.38,138.174,86092
2022-07-20,138.169,138.373,137.902,138.234,69295
2022-07-21,138.219,138.876,137.28,137.322,119174
