time,open,high,low,close,tick_volume
2021-03-19,1734.88,1746.71,1728.37,1744.93,144774
2021-03-22,1745.77,1746.86,1727.16,1738.42,129657
2021-03-23,1738.27,1742.61,1724.43,1726.8,130732
2021-03-24,1726.65,1738.42,1723.57,1733.77,115634
2021-03-25,1734.02,1745.51,1721.66,1726.85,141863
2021-03-26,1726.32,1736.7,1721.48,1732.53,115237
2021-03-29,1731.53,1732.91,1705.65,1711.71,107291
2021-03-30,1712.12,1714.29,1678.6,1684.92,134613
2021-03-31,1685.28,1715.24,1677.46,1707.65,136416
2021-04-01,1707.17,1730.65,1705.6,1729.36,123734
2021-04-05,1727.6,1733.57,1721.21,1728.48,85355
2021-04-06,1728.09,1745.5,1727.13,1743.08,114079
2021-04-07,1742.72,1744.26,1730.51,1737.63,100220
2021-04-08,1737.54,1758.74,1733.03,1756.16,100992
2021-04-09,1755.24,1757.29,1730.92,1743.29,106416
2021-04-12,1743.11,1745.02,1727.18,1732.17,99215
2021-04-13,1732.2,1748.92,1723.64,1745.39,121468
2021-04-14,1745.44,1749.4,1732.48,1736.15,112035
2021-04-15,1736.15,1769.62,1734.08,1763.43,125031
2021-04-16,1763.45,1783.85,1759.69,1776.64,113657
2021-04-19,1777.27,1790.05,1766.56,1770.82,126536
2021-04-20,1770.41,1780.41,1763.6,1778.58,125965
2021-04-21,1778.57,1797.69,1775.24,1793.98,122569
2021-04-22,1793.64,1797.84,1777.19,1784.32,128591
2021-04-23,1783.51,1796.0,1769.98,1776.31,112296
2021-04-26,1775.83,1783.44,1768.7,1781.36,106316
2021-04-27,1780.86,1785.57,1773.67,1776.6,105524
2021-04-28,1776.46,1782.55,1762.53,1781.46,125477
2021-04-29,1781.49,1789.98,1755.93,1772.08,127113
2021-04-30,1772.18,1773.65,1764.11,1768.84,118589
2021-05-03,1767.64,1797.93,1766.04,1793.1,107340
2021-05-04,1792.65,1799.07,1770.57,1779.29,128111
2021-05-05,1778.19,1787.98,1770.32,1787.75,103989
2021-05-06,1786.66,1818.14,1782.01,1815.29,139367
2021-05-07,1814.46,1843.39,1812.87,1830.75,150620
2021-05-10,1832.03,1845.44,1829.97,1835.51,143935
2021-05-11,1835.43,1841.81,1817.93,1836.82,146771
2021-05-12,1836.64,1843.7,1813.19,1815.78,170761
2021-05-13,1815.38,1828.79,1808.66,1826.88,168082
