time,open,high,low,close,tick_volume
2024-11-29 06:00:00,2660.04,2664.31,2658.34,2659.87,4729
2024-11-29 07:00:00,2659.81,2664.01,2659.43,2662.42,7545
2024-11-29 08:00:00,2662.42,2666.3,2661.7,2665.21,7301
2024-11-29 09:00:00,2665.28,2665.61,2659.04,2660.54,7305
2024-11-29 10:00:00,2660.58,2662.57,2654.56,2657.24,7953
2024-11-29 11:00:00,2657.16,2664.73,2655.83,2664.18,8253
2024-11-29 12:00:00,2664.15,2665.87,2661.31,2662.74,6518
2024-11-29 13:00:00,2662.74,2664.28,2659.5,2659.6,6640
2024-11-29 14:00:00,2659.6,2664.96,2658.98,2660.23,7244
2024-11-29 15:00:00,2660.21,2663.4,2656.18,2657.98,15058
2024-11-29 16:00:00,2657.97,2662.71,2651.93,2653.54,15417
2024-11-29 17:00:00,2653.58,2658.89,2650.53,2658.89,14257
2024-11-29 18:00:00,2658.94,2662.27,2658.0,2662.17,12879
2024-11-29 19:00:00,2662.18,2662.26,2657.52,2660.61,9226
2024-11-29 20:00:00,2660.75,2660.75,2651.69,2652.71,7369
2024-11-29 21:00:00,2652.65,2653.02,2648.96,2649.33,4010
2024-12-02 01:00:00,2648.97,2650.1,2642.94,2645.87,4111
2024-12-02 02:00:00,2645.87,2647.58,2629.99,2637.43,8526
2024-12-02 03:00:00,2637.45,2639.18,2622.91,2635.85,17020
2024-12-02 04:00:00,2635.86,2638.02,2625.65,2626.74,11864
2024-12-02 05:00:00,2626.96,2631.15,2624.12,2629.31,9758
2024-12-02 06:00:00,2629.31,2630.58,2626.18,2628.58,4769
2024-12-02 07:00:00,2628.48,2628.78,2621.93,2623.18,10477
2024-12-02 08:00:00,2623.13,2627.71,2621.94,2625.93,11353
2024-12-02 09:00:00,2626.01,2633.64,2625.25,2629.57,10713
2024-12-02 10:00:00,2629.58,2632.83,2626.59,2629.46,12330
2024-12-02 11:00:00,2629.32,2636.86,2628.55,2633.56,10419
2024-12-02 12:00:00,2633.58,2637.7,2633.28,2635.84,8947
2024-12-02 13:00:00,2635.83,2646.35,2635.72,2641.79,11228
2024-12-02 14:00:00,2641.79,2645.14,2639.14,2641.0,9813
2024-12-02 15:00:00,2641.02,2648.85,2637.13,2646.98,16401
2024-12-02 16:00:00,2647.03,2651.74,2642.47,2645.01,15720
2024-12-02 17:00:00,2643.05,2649.37,2640.22,2642.28,18382
2024-12-02 18:00:00,2642.28,2644.36,2638.61,2641.33,13586
2024-12-02 19:00:00,2641.33,2642.01,2637.34,2638.84,8340
2024-12-02 20:00:00,2638.78,2638.92,2633.53,2637.01,7029
2024-12-02 21:00:00,2637.1,2640.23,2636.53,2637.59,5201
2024-12-02 22:00:00,2637.57,2644.23,2635.26,2637.21,7500
2024-12-02 23:00:00,2637.25,2639.09,2636.53,2638.5,1632
2024-12-03 01:00:00,2638.7,2642.78,2638.57,2642.15,1508
2024-12-03 02:00:00,2642.16,2644.26,2640.45,2641.06,6550
2024-12-03 03:00:00,2641.06,2645.28,2634.1,2636.54,13779
2024-12-03 04:00:00,2636.53,2639.1,2634.47,2637.01,10114
2024-12-03 05:00:00,2637.04,2640.62,2636.25,2640.44,5825
2024-12-03 06:00:00,2640.44,2642.97,2638.33,2639.82,5931
2024-12-03 07:00:00,2639.82,2642.01,2637.13,2641.14,7312
2024-12-03 08:00:00,2641.14,2650.05,2641.14,2646.84,10748
2024-12-03 09:00:00,2646.84,2647.72,2644.41,2644.52,7026
2024-12-03 10:00:00,2644.36,2645.37,2639.24,2645.08,10279
2024-12-03 11:00:00,2645.07,2648.09,2643.93,2644.05,10892
2024-12-03 12:00:00,2644.05,2645.53,2642.53,2642.79,7207
2024-12-03 13:00:00,2642.82,2645.67,2642.69,2643.67,6518
2024-12-03 14:00:00,2643.61,2644.2,2638.25,2639.99,7619
2024-12-03 15:00:00,2639.94,2653.77,2637.78,2652.86,18490
2024-12-03 16:00:00,2652.92,2655.66,2645.67,2646.7,17534
2024-12-03 17:00:00,2646.8,2647.24,2635.23,2640.47,18860
2024-12-03 18:00:00,2640.47,2648.68,2638.89,2648.42,12522
2024-12-03 19:00:00,2648.38,2648.78,2643.42,2646.97,8620
2024-12-03 20:00:00,2647.0,2649.17,2643.15,2645.75,7031
